TxnDate, PostedDate,Payee,Notes,Amount
Aug 25,Aug 25,Tim HORTONS, SCARBOROUGH, -1.92
Aug 25,Aug 25,Payment Received, Thank you, 0.28
Aug 25,Aug 25,Tim HORTONS, SCARBOROUGH, -0.28
Aug 25,Aug 25,Payment Received, Thank you ,173.31
Aug 23,Aug 24,ALBAAQI SCARBOROUGH ,CAN, -6.58
Aug 23,Aug 24,DOLLARAMA SCARBOROUGH ,CAN, -5.93
Aug 23,Aug 24,GIANT TIGER SCARBOROUGH ,CAN ,-15.59
Aug 18,Aug 19,TIM HORTONS #3296 SCARBOROUGH ,CAN, -0.12
Aug 18,Aug 19,TIM HORTONS #3296 SCARBOROUGH ,CAN, -2.09
Aug 18,Aug 19,GIANT TIGER #159 SCARBOROUGH ,CAN ,-10.51
Aug 18,Aug 19,DOLLARAMA # 759 TORONTO ,CAN, -4.52
Aug 16,Aug 18,PRESTO FARE/5F2727P5DB Toronto ,CAN, -6.60
Aug 16,Aug 17,GIANT TIGER #159 SCARBOROUGH ,CAN, -7.94
Aug 15,Aug 17,UBER CANADA/UBEREATS TORONTO ,CAN ,-19.90
Aug 16,Aug 17,DOLLARAMA # 759 TORONTO ,CAN, -5.93
Aug 14,Aug 16,PRESTO FARE/5F17CKXPCF Toronto ,CAN, -3.30
Aug 14,Aug 16,TIM HORTONS #2753 TORONTO ,CAN, -1.92
Aug 14,Aug 14,SEPHORA.CA SEPHORA.CA ,CAN, 83.62
Aug 12,Aug 13,GIANT TIGER #159 SCARBOROUGH ,CAN, -5.94
Aug 12,Aug 13,ALBAAQI SUPERMARKET SCARBOROUGH ,CAN, -3.29
Aug 12,Aug 13,DOLLARAMA # 759 TORONTO ,CAN, -1.70
Aug 12,Aug 13,DOLLARAMA # 759 TORONTO ,CAN, -6.22
Aug 9,Aug 11,GIANT TIGER #159 SCARBOROUGH ,CAN, -7.45
Aug 9,Aug 9,DOORDASHZABARDASTHY +16506819470 ,CAN ,-23.25
Aug 7,Aug 9,PRESTO FARE/5F05P5L6HS Toronto ,CAN, -6.60
Aug 7,Aug 8,KING BURRITO & JUICE B TORONTO ,CAN, -3.14
Aug 7,Aug 8,KING BURRITO & JUICE B TORONTO ,CAN ,-12.97
Aug 6,Aug 7,DOORDASHLONZOSKITCH +16506819470 ,CAN ,-26.93
Aug 5,Aug 6,GIANT TIGER #159 SCARBOROUGH ,CAN ,-10.06
Aug 5,Aug 6,DOLLARAMA # 759 TORONTO ,CAN, -9.89
Aug 2,Aug 4,PRESTO FARE/55PHL2QMJF Toronto ,CAN, -3.30
Aug 3,Aug 3,SEPHORA.CA SEPHORA.CA ,CAN, 61.02
Aug 2,Aug 3,TIM HORTONS #3296 SCARBOROUGH ,CAN, -2.40
Aug 1,Aug 3,TIM HORTONS #3296 SCARBOROUGH ,CAN, -2.93
Jul 30, Aug 1,SHOPPERS DRUG MART #08 NORTH YORK ,CAN, -3.38
Jul 31, Aug 1,TIM HORTONS #3296 SCARBOROUGH ,CAN, -4.66
Jul 28, Jul 29,ALBAAQI SUPERMARKET SCARBOROUGH ,CAN ,-11.65
Jul 28, Jul 29,SHOPPERS DRUG MART #08 TORONTO ,CAN, -3.70
Jul 26, Jul 28,PRESTO FARE/5574G2MDMB Toronto ,CAN, -3.30
Jul 25, Jul 27,SOBEYS #7383 TORONTO ,CAN ,-23.15
Jul 23, Jul 25,PRESTO FARE/55NF7HCX2J Toronto ,CAN, -3.30
Jul 22, Jul 23,TIM HORTONS #1769 ETOBICOKE ,CAN, -3.76
Jul 21, Jul 23,PRESTO FARE/55N26JQHVV Toronto ,CAN, -3.30
Jul 21, Jul 22,SQ *SHAMBHALA KITCHEN Toronto ,CAN ,-39.66
Jul 19, Jul 20,GIANT TIGER #159 SCARBOROUGH ,CAN, -9.05
Jul 18, Jul 20,TIM HORTONS #2288 ETOBICOKE ,CAN, -2.93
Jul 20, Jul 20,Payment Received, Thank you ,163.80
Jul 18, Jul 19,SOUL REBEL SCARBOROUGH ,CAN ,-25.88
Jul 18, Jul 18,Subway 30855 Toronto ,CAN ,-14.57
Jul 17, Jul 18,GIANT TIGER #159 SCARBOROUGH ,CAN, -5.64
Jul 17, Jul 18,ALBAAQI SUPERMARKET SCARBOROUGH ,CAN, -6.58
Jul 15, Jul 15,Transaction Dispute Adjustment,, 11.29
Jul 10, Jul 11,UBER CANADA/UBERONE TORONTO ,CAN ,-11.29
Jul 9,Jul 10, DOLLARAMA # 759 TORONTO ,CAN ,-18.08
Jul 7,Jul 9, SHELL C45061 SCARBOROUGH ,CAN, -2.51
Jul 7,Jul 9, PRESTO FARE/55K6J9VWRG Toronto ,CAN, -3.30
Jul 7,Jul 8, CAFE DE PAAN SCARBOROUGH ,CAN, -5.63
Jul 7,Jul 8, SOUL REBEL SCARBOROUGH ,CAN, -3.96
Jul 7,Jul 8, SOUL REBEL SCARBOROUGH ,CAN ,-25.88
Jul 6,Jul 7, TIM HORTONS #8161 BRAMPTON ,CAN, -1.92
Jul 5,Jul 6, TIM HORTONS #9403 NORTH YORK ,CAN, -0.18
Jul 4,Jul 5, TIM HORTONS #3296 SCARBOROUGH ,CAN, -2.72
Jul 2,Jul 4, SHELL C45061 SCARBOROUGH ,CAN, -2.70
Jul 2,Jul 3, GIANT TIGER #159 SCARBOROUGH ,CAN ,-12.03
Jul 2,Jul 3, SOUL REBEL SCARBOROUGH ,CAN ,-20.24
Jul 1,Jul 3, SEPHORA.CA SEPHORA.CA ,CAN ,-37.29
Jul 1,Jul 3, SEPHORA.CA SEPHORA.CA ,CAN ,-61.02
Jul 1,Jul 3, SEPHORA.CA SEPHORA.CA ,CAN ,-83.62
Jul 2,Jul 2, Payment Received, Thank you ,202.33
Jun 30, Jul 1, TIM HORTONS #0913 MILTON ,CAN ,-10.52
Jun 29, Jul 1, PRESTO FARE/55J592PFD7 Toronto ,CAN, -3.30
Jun 26, Jun 27, DOORDASHTHEMOMOSTAT +16506819470 ,CAN, -6.58
Jun 26, Jun 26, Payment Received, Thank you ,228.41
Jun 25, Jun 26, UBER CANADA/UBEREATS TORONTO ,CAN ,-20.98
Jun 24, Jun 26, TIM HORTONS #3296 SCARBOROUGH ,CAN, -9.95
Jun 24, Jun 25, GIANT TIGER #159 SCARBOROUGH ,CAN, -2.97
Jun 24, Jun 25, SOUL REBEL SCARBOROUGH ,CAN ,-26.45
Jun 24, Jun 25, Subway 42740 Toronto ,CAN ,-17.83
Jun 22, Jun 22, TIM HORTONS #3296 SCARBOROUGH ,CAN, -3.76
Jun 21, Jun 22, PIZZA PIZZA # 70 SCARBOROUGH ,CAN ,-25.41
Jun 20, Jun 21, UBER CANADA/UBEREATS TORONTO ,CAN ,-28.26
Jun 19, Jun 21, PRESTO FARE/55H648VMBC Toronto ,CAN, -3.30
Jun 19, Jun 20, GIANT TIGER #159 SCARBOROUGH ,CAN ,-10.82
Jun 19, Jun 20, DOLLARAMA # 759 TORONTO ,CAN, -7.85
Jun 18, Jun 20, PRESTO FARE/55H4CH9QVH Toronto ,CAN, -3.30
Jun 16, Jun 18, WAL-MART #3135 BRAMPTON ,CAN, -1.24
Jun 17, Jun 18, DOLLARAMA # 759 TORONTO ,CAN, -9.07
Jun 17, Jun 17, TIM HORTONS #1769 ETOBICOKE ,CAN, -4.01
Jun 15, Jun 17, CITY OF TORONTO FERRY TORONTO ,CAN ,-27.33
Jun 15, Jun 16, SOUL REBEL SCARBOROUGH ,CAN ,-25.88
Jun 14, Jun 15, GIANT TIGER #159 SCARBOROUGH ,CAN ,-18.09
Jun 15, Jun 15, Payment Received, Thank you ,259.80
Jun 13, Jun 15, PRESTO FARE/55G3GK9HTX Toronto ,CAN, -6.60
Jun 11, Jun 12, DOORDASHTHEMOMOSTAT +16506819470 ,CAN ,-21.66
Jun 10, Jun 11, UBER CANADA/UBERONE TORONTO ,CAN ,-11.29
Jun 9, Jun 9, WETNWILD* GPM PURCHASE +14163690123 ,CAN ,-15.00
Jun 7, Jun 9, SHELL C45074 TORONTO ,CAN ,-17.29
Jun 7, Jun 9, PRESTO FARE/55F1D6RR8T Toronto ,CAN, -3.30
Jun 5, Jun 7, SHOPPERS DRUG MART #08 SCARBOROUGH ,CAN, -3.83
Jun 6, Jun 7, ROYAL PAAN SCARBOROUGH SCARBOROUGH ,CAN ,-12.00
