Filter,Date,Description,Status,Type of Transaction,Amount
"Custom filters (select dates and amounts), From date=2024-01-01, To date=2024-08-27","2024-08-26","          FROM - *****01*1525","posted","Credit","75.69"
"","2024-08-24","Freedom mobile","posted","Debit","51.64"
"","2024-08-23","DOORDASH CHEFFYSTHE","posted","Debit","24.05"
"","2024-08-20","Pizza Pizza","posted","Debit","25.13"
"","2024-08-19","          FROM - *****01*1525","posted","Credit","271.92"
"","2024-08-18","iTunes","posted","Debit","3.38"
"","2024-08-16","iTunes","posted","Debit","4.51"
"","2024-08-12","Pizza Pizza","posted","Debit","25.13"
"","2024-08-04","Pizza Pizza","posted","Debit","20.58"
"","2024-08-01","Pizza Pizza","posted","Debit","25.13"
"","2024-07-30","Pizza Pizza","posted","Debit","26.53"
"","2024-07-27","Pizza Pizza","posted","Debit","25.13"
"","2024-07-24","Pizza Pizza","posted","Debit","25.13"
"","2024-07-24","Freedom mobile","posted","Debit","51.65"
"","2024-07-19","Pizza Pizza","posted","Debit","20.33"
"","2024-07-18","iTunes","posted","Debit","3.38"
"","2024-07-17","VALUE BUDS FINCHDALE","posted","Debit","21.40"
"","2024-07-16","iTunes","posted","Debit","4.51"
"","2024-07-16","          FROM - *****01*1525","posted","Credit","190.74"
"","2024-07-15","Pizza Pizza","posted","Debit","26.53"
"","2024-07-13","Giant Tiger","posted","Debit","36.09"
"","2024-07-13","ALBAAQI SUPERMARKET","posted","Debit","10.87"
"","2024-07-13","Dollarama","posted","Debit","5.93"
"","2024-07-12","Pizza Pizza","posted","Debit","26.53"
"","2024-07-09","Pizza Pizza","posted","Debit","26.53"
"","2024-07-05","Pizza Pizza","posted","Debit","26.53"
"","2024-07-02","Pizza Pizza","posted","Debit","21.73"
"","2024-06-29","          FROM - *****01*1525","posted","Credit","176.79"
"","2024-06-24","Pizza Pizza","posted","Debit","26.53"
"","2024-06-24","Freedom mobile","posted","Debit","51.64"
"","2024-06-19","Pizza Pizza","posted","Debit","26.53"
"","2024-06-18","iTunes","posted","Debit","3.38"
"","2024-06-16","iTunes","posted","Debit","4.51"
"","2024-06-14","Pizza Pizza","posted","Debit","26.53"
"","2024-06-12","INTEREST CHARGES-PURCHASE","posted","Debit","2.12"
"","2024-06-09","Pizza Pizza","posted","Debit","26.53"
"","2024-06-07","A&W","posted","Debit","9.02"
"","2024-06-03","          FROM - *****01*1525","posted","Credit","333.58"
"","2024-05-31","SCOTIABANK TRANSIT","posted","Credit","10.00"
"","2024-05-30","Pizza Pizza","posted","Debit","21.73"
"","2024-05-28","DOORDASH THEMOMOSTAT","posted","Debit","21.66"
"","2024-05-26","Pizza Pizza","posted","Debit","3.66"
"","2024-05-24","Pizza Pizza","posted","Debit","26.53"
"","2024-05-24","TORONTO INTERNATIONAL","posted","Debit","5.00"
"","2024-05-24","Freedom mobile","posted","Debit","61.06"
"","2024-05-21","Pizza Pizza","posted","Debit","26.53"
"","2024-05-18","iTunes","posted","Debit","3.38"
"","2024-05-16","Pizza Pizza","posted","Debit","28.53"
"","2024-05-16","iTunes","posted","Debit","4.51"
"","2024-05-14","Pizza Pizza","posted","Debit","26.53"
"","2024-05-09","Pizza Pizza","posted","Debit","21.73"
"","2024-05-02","iTunes","posted","Debit","2.81"
"","2024-05-01","Pizza Pizza","posted","Debit","26.53"
"","2024-04-28","Pizza Pizza","posted","Debit","26.53"
"","2024-04-26","Tim Hortons","posted","Debit","2.40"
"","2024-04-25","ALBAAQI SUPERMARKET","posted","Debit","3.29"
"","2024-04-25","Dollarama","posted","Debit","1.70"
"","2024-04-25","          FROM - *****01*1525","posted","Credit","175.00"
"","2024-04-24","Pizza Pizza","posted","Debit","26.53"
"","2024-04-24","HAIR JOY","posted","Debit","18.95"
"","2024-04-23","Freedom mobile","posted","Debit","94.92"
"","2024-04-23","Freedom mobile","posted","Debit","64.07"
"","2024-04-22","          FROM - *****01*1525","posted","Credit","164.27"
"","2024-04-21","Pizza Pizza","posted","Debit","26.53"
"","2024-04-19","Pizza Pizza","posted","Debit","21.73"
"","2024-04-18","iTunes","posted","Debit","3.38"
"","2024-04-17","iTunes","posted","Debit","4.51"
"","2024-04-14","Pizza Pizza","posted","Debit","26.53"
"","2024-04-07","Pizza Pizza","posted","Debit","26.53"
"","2024-03-31","Pizza Pizza","posted","Debit","26.53"
"","2024-03-26","Pizza Pizza","posted","Debit","28.53"
"","2024-03-25","          FROM - *****01*1525","posted","Credit","66.89"
"","2024-03-25","Freedom mobile","posted","Debit","64.08"
"","2024-03-23","iTunes","posted","Debit","2.81"
"","2024-03-22","          FROM - *****01*1525","posted","Credit","136.55"
"","2024-03-19","Pizza Pizza","posted","Debit","21.73"
"","2024-03-18","iTunes","posted","Debit","3.38"
"","2024-03-17","iTunes","posted","Debit","4.51"
"","2024-03-14","Pizza Pizza","posted","Debit","26.53"
"","2024-03-12","Uber Eats","posted","Debit","24.53"
"","2024-03-10","Pizza Pizza","posted","Debit","26.53"
"","2024-03-08","iTunes","posted","Debit","2.81"
"","2024-03-04","Pizza Pizza","posted","Debit","26.53"
"","2024-02-27","          FROM - *****01*1525","posted","Credit","373.06"
"","2024-02-26","Pizza Pizza","posted","Debit","26.53"
"","2024-02-24","Freedom mobile","posted","Debit","51.82"
"","2024-02-23","Pizza Pizza","posted","Debit","28.53"
"","2024-02-20","Pizza Pizza","posted","Debit","21.73"
"","2024-02-19","iTunes","posted","Debit","3.38"
"","2024-02-17","Pizza Pizza","posted","Debit","26.53"
"","2024-02-17","iTunes","posted","Debit","4.51"
"","2024-02-14","Pizza Pizza","posted","Debit","26.53"
"","2024-02-14","IMMIGRATION CANADA ONLINE","posted","Debit","100.00"
"","2024-02-13","Tim Hortons","posted","Debit","5.64"
"","2024-02-07","Pizza Pizza","posted","Debit","26.53"
"","2024-02-05","iTunes","posted","Debit","2.81"
"","2024-02-01","Pizza Pizza","posted","Debit","26.53"
"","2024-01-31","Tim Hortons","posted","Debit","6.78"
"","2024-01-29","Giant Tiger","posted","Debit","15.21"
"","2024-01-29","          FROM - *****01*1525","posted","Credit","462.43"
